Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6,0,2,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,1
Atalanta,697,D,Cuadrado,6*,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,5,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,5.5,0,0,0,0,0,0,0,0,0
Atalanta,4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
Atalanta,5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,6,0,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,6.5,0,0,0,0,0,0,0,0,0
Atalanta,2766,C,Zaniolo,6.5,0,0,0,0,0,0,1,0,1
Atalanta,5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,6.5,1,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,8,2,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,6,0,0,0,0,0,0,0,0,0
Bologna,2722,P,Ravaglia F.,6.5,0,0,0,0,0,0,0,0,0
Bologna,2653,D,Lykogiannis,6*,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,7,0,0,0,0,0,0,1,0,1
Bologna,5498,D,Casale,6*,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,7,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,7,0,0,0,0,0,0,1,0,0
Bologna,2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,0
Bologna,5298,C,Pobega,7,1,0,0,0,0,0,0,0,0
Bologna,5858,C,Ferguson,5.5,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,5,0,0,0,1,0,0,0,0,0
Bologna,6643,A,Dallinga,7,1,0,0,0,0,0,0,0,0
Bologna,6895,A,Dominguez B.,6,0,0,0,0,0,0,0,0,0
Cagliari,6650,P,Sherri,6,0,2,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,5,0,0,0,0,0,0,0,0,0
Cagliari,4210,D,Mina,5,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,6,0,0,0,0,0,0,0,0,1
Cagliari,4433,D,Zortea,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,5.5,0,0,0,0,0,0,0,0,0
Cagliari,6464,D,Wieteska,5.5,0,0,0,0,0,0,1,0,0
Cagliari,1871,C,Deiola,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4364,C,Gaetano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,5.5,0,0,0,0,0,0,0,0,0
Cagliari,6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
Cagliari,6640,C,Felici,6,0,0,0,0,0,0,0,0,0
Cagliari,247,A,Pavoletti,7,1,0,0,0,0,0,1,0,0
Cagliari,1939,A,Lapadula,6,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,5,0,0,0,0,0,0,0,0,0
Como,387,P,Reina,6,0,2,0,0,0,0,0,0,0
Como,134,D,Barba,5.5,0,0,0,0,0,0,0,0,0
Como,418,D,Goldaniga,6,0,0,0,0,0,0,0,0,0
Como,4284,D,Sergi Roberto,6,0,0,0,0,0,0,0,0,0
Como,6230,D,Dossena,6,0,0,0,0,0,0,0,0,0
Como,6893,D,Kempf,5.5,0,0,0,0,0,0,0,0,0
Como,6896,D,Van Der Brempt,5.5,0,0,0,0,0,0,0,0,0
Como,1976,C,Mazzitelli,5.5,0,0,0,0,0,0,1,0,0
Como,4486,C,Strefezza,5.5,0,0,0,0,0,0,0,0,0
Como,5559,C,Da Cunha,6,0,0,0,0,0,0,1,0,0
Como,5725,C,Kone B.,6,0,0,0,0,0,0,0,0,0
Como,6815,C,Fadera,6,0,0,0,0,0,0,0,0,0
Como,6875,C,Paz N.,5.5,0,0,0,0,0,0,0,0,0
Como,306,A,Cerri,6*,0,0,0,0,0,0,0,0,0
Como,441,A,Belotti,5.5,0,0,0,0,0,0,0,0,0
Como,2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0
Empoli,6125,P,Vasquez D.,6.5,0,3,0,0,0,0,0,0,0
Empoli,770,D,Pezzella Giu.,6,0,0,0,0,0,0,1,0,0
Empoli,5010,D,Ismajli,5.5,0,0,0,0,0,0,0,0,0
Empoli,5804,D,Cacace,5,0,0,0,0,0,0,0,0,0
Empoli,5856,D,Sambia,6*,0,0,0,0,0,0,0,0,0
Empoli,6537,D,Goglichidze,5.5,0,0,0,0,0,0,0,0,0
Empoli,6809,D,Marianucci,6*,0,0,0,0,0,0,0,0,0
Empoli,27,C,Grassi,6,0,0,0,0,0,0,0,0,0
Empoli,4498,C,Henderson L.,6.5,0,0,0,0,0,0,0,0,1
Empoli,4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
Empoli,5457,C,Maleh,6,0,0,0,0,0,0,0,0,0
Empoli,6010,C,Fazzini,6,0,0,0,0,0,0,0,0,0
Empoli,6889,C,Anjorin,6,0,0,0,0,0,0,0,0,0
Empoli,4463,A,Esposito Se.,6.5,0,0,0,0,1,0,0,0,0
Empoli,4923,A,Colombo,6.5,1,0,0,0,0,0,0,0,0
Fiorentina,2521,P,De Gea,6,0,2,0,0,0,0,0,0,0
Fiorentina,2160,D,Gosens,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,4378,D,Ranieri L.,5,0,0,0,0,0,0,0,0,0
Fiorentina,5449,D,Parisi,6*,0,0,0,0,0,0,0,0,0
Fiorentina,6235,D,Kayode,5,0,0,0,0,0,0,0,0,0
Fiorentina,6495,D,Comuzzo,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,333,C,Cataldi,6,0,0,0,0,0,0,0,0,0
Fiorentina,1933,C,Mandragora,6,0,0,0,0,0,0,0,0,0
Fiorentina,2839,C,Sottil,6,0,0,0,0,0,0,1,0,0
Fiorentina,4658,C,Ikone',5.5,0,0,0,0,0,0,0,0,0
Fiorentina,5875,C,Adli,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,5878,C,Colpani,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,2097,A,Kean,6,0,0,0,0,1,0,0,0,0
Fiorentina,2762,A,Kouame',6,0,0,0,0,0,0,1,0,0
Fiorentina,5800,A,Gudmundsson A.,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,6409,A,Beltran L.,5.5,0,0,0,0,0,0,0,0,0
Genoa,188,P,Leali,6,0,2,0,0,0,0,0,0,0
Genoa,791,D,Sabelli,6,0,0,0,0,0,0,1,0,0
Genoa,2285,D,Bani,6,0,0,0,0,0,0,0,0,0
Genoa,2593,D,Martin,5.5,0,0,0,0,0,0,0,0,0
Genoa,5514,D,Vasquez,5.5,0,0,0,0,0,0,0,0,0
Genoa,5527,D,Zanoli,6,0,0,0,0,0,0,0,0,0
Genoa,6814,D,Norton-Cuffy,6*,0,0,0,0,0,0,0,0,0
Genoa,170,C,Badelj,5.5,0,0,0,0,0,0,0,0,0
Genoa,4404,C,Thorsby,6,0,0,0,0,0,0,0,0,0
Genoa,5791,C,Frendrup,5.5,0,0,0,0,0,0,1,0,0
Genoa,5813,C,Miretti,6,0,0,0,0,0,0,0,0,0
Genoa,696,A,Balotelli,6*,0,0,0,0,0,0,0,0,0
Genoa,2038,A,Pinamonti,6.5,1,0,0,0,0,0,0,0,0
Genoa,5506,A,Ekuban,6,0,0,0,0,0,0,0,0,0
Genoa,6164,A,Vitinha O.,6,0,0,0,0,0,0,0,0,1
Inter,2428,P,Sommer,6,0,0,0,0,0,0,0,0,0
Inter,254,D,Dimarco,6,0,0,0,0,0,0,0,0,0
Inter,322,D,De Vrij,6,0,0,0,0,0,0,0,0,0
Inter,2120,D,Bastoni,6.5,0,0,0,0,0,0,0,0,0
Inter,5513,D,Dumfries,5.5,0,0,0,0,0,0,0,0,0
Inter,5877,D,Carlos Augusto,7,1,0,0,0,0,0,0,0,0
Inter,6217,D,Bisseck,6.5,0,0,0,0,0,0,1,0,0
Inter,152,C,Zielinski,6.5,0,0,0,0,0,0,0,0,1
Inter,1870,C,Barella,6,0,0,0,0,0,0,0,0,0
Inter,2194,C,Calhanoglu,6.5,0,0,0,0,0,0,0,0,1
Inter,2529,C,Mkhitaryan,5.5,0,0,0,0,0,0,0,0,0
Inter,2848,C,Frattesi,6*,0,0,0,0,0,0,0,0,0
Inter,6532,C,Buchanan T.,6*,0,0,0,0,0,0,0,0,0
Inter,2764,A,Martinez L.,5.5,0,0,0,0,0,0,0,0,0
Inter,4871,A,Thuram,7,1,0,0,0,0,0,1,0,0
Inter,6628,A,Taremi,6*,0,0,0,0,0,0,0,0,0
Juventus,5876,P,Di Gregorio,6,0,1,0,0,0,0,0,0,0
Juventus,4976,D,Kalulu,5.5,0,0,0,0,0,0,0,0,0
Juventus,5520,D,Cambiaso,6,0,0,0,0,0,0,0,0,0
Juventus,5831,D,Gatti,6,0,0,0,0,0,0,0,0,0
Juventus,6802,D,Savona,6,0,0,0,0,0,0,0,0,0
Juventus,827,C,Locatelli,6.5,0,0,0,0,0,0,0,0,0
Juventus,4465,C,Fagioli,6*,0,0,0,0,0,0,0,0,0
Juventus,4973,C,McKennie,7,1,0,0,0,0,0,0,0,0
Juventus,5562,C,Thuram K.,6,0,0,0,0,0,0,0,0,0
Juventus,5685,C,Koopmeiners,6.5,0,0,0,0,0,0,0,0,1
Juventus,6677,C,Adzic,6*,0,0,0,0,0,0,0,0,0
Juventus,6884,C,Conceicao,6,0,0,0,0,0,0,1,0,0
Juventus,2841,A,Vlahovic,5.5,0,0,0,0,0,0,0,0,0
Juventus,4179,A,Gonzalez N.,7,1,0,0,0,0,0,0,0,0
Juventus,6434,A,Yildiz,6.5,0,0,0,0,0,0,0,0,0
Juventus,6833,A,Mbangula,6*,0,0,0,0,0,0,0,0,0
Lazio,2814,P,Provedel,6,0,1,0,0,0,0,0,0,0
Lazio,460,D,Romagnoli,6,0,0,0,0,0,0,0,0,0
Lazio,2188,D,Marusic,7,1,0,0,0,0,0,0,0,0
Lazio,2263,D,Lazzari,5.5,0,0,0,0,0,0,0,0,0
Lazio,2728,D,Pellegrini Lu.,5.5,0,0,0,0,0,0,0,0,0
Lazio,5620,D,Tavares N.,5.5,0,0,0,0,0,0,0,0,0
Lazio,5833,D,Gila,6.5,0,0,0,0,0,0,0,0,0
Lazio,632,C,Zaccagni,5.5,0,0,0,0,0,0,0,0,0
Lazio,4186,C,Guendouzi,6,0,0,0,0,0,0,0,0,0
Lazio,4459,C,Rovella,6.5,0,0,0,0,0,0,0,0,0
Lazio,5919,C,Tchaouna,6,0,0,0,0,0,0,1,0,0
Lazio,2489,A,Pedro,6,0,0,0,0,0,0,0,0,0
Lazio,5672,A,Dia,5.5,0,0,0,0,0,0,0,0,0
Lazio,6226,A,Castellanos,7,0,0,0,0,1,0,0,0,0
Lazio,6398,A,Isaksen,6,0,0,0,0,0,0,0,0,0
Lazio,6556,A,Noslin,6*,0,0,0,0,0,0,0,0,0
