Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6,0,0,0,0,0,0,0,0,0
Atalanta,697,D,Cuadrado,6.5,0,0,0,0,0,0,0,0,1
Atalanta,787,D,Djimsiti,6*,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
Atalanta,4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,5578,D,Kossounou,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,6.5,0,0,0,0,0,0,1,0,0
Atalanta,22,C,De Roon,7,1,0,0,0,0,0,0,0,0
Atalanta,2766,C,Zaniolo,7,1,0,0,0,0,0,1,0,0
Atalanta,4947,C,Brescianini,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,5.5,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
Bologna,133,P,Skorupski,6,0,0,0,0,0,0,0,0,0
Bologna,487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,6,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',6,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,7.5,0,0,0,0,1,0,0,0,1
Bologna,5425,C,Urbanski,6*,0,0,0,0,0,0,0,0,0
Bologna,5564,C,Ndoye,8,1,0,0,0,1,0,0,0,0
Bologna,6054,C,Moro N.,6.5,0,0,0,0,0,0,0,0,0
Bologna,6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,6.5,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,6,0,0,0,0,0,0,0,0,0
Bologna,6643,A,Dallinga,6.5,0,0,0,0,0,0,0,0,0
Bologna,6895,A,Dominguez B.,6*,0,0,0,0,0,0,0,0,0
Cagliari,6650,P,Sherri,6,0,0,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
Cagliari,4210,D,Mina,7,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,6.5,0,0,0,0,0,0,0,0,0
Cagliari,4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
Cagliari,5701,D,Obert,6*,0,0,0,0,0,0,0,0,0
Cagliari,440,C,Viola,6,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,5.5,0,0,0,0,0,0,1,0,0
Cagliari,6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
Cagliari,6640,C,Felici,7,0,0,0,0,0,0,0,0,1
Cagliari,247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
Cagliari,1939,A,Lapadula,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,7,1,0,0,0,0,0,0,0,0
Cagliari,5297,A,Luvumbo,5.5,0,0,0,0,0,0,0,0,0
Como,387,P,Reina,6,0,1,0,0,0,0,0,0,0
Como,418,D,Goldaniga,6,0,0,0,0,0,0,0,0,0
Como,4386,D,Sala M.,6*,0,0,0,0,0,0,1,0,0
Como,5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
Como,6654,D,Iovine,6,0,0,0,0,0,0,1,0,0
Como,6893,D,Kempf,6,0,0,0,0,0,0,0,0,0
Como,6896,D,Van Der Brempt,6,0,0,0,0,0,0,0,0,0
Como,376,C,Verdi,6,0,0,0,0,0,0,0,0,0
Como,4486,C,Strefezza,6,0,0,0,0,0,0,0,0,0
Como,5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
Como,6676,C,Engelhardt,7,1,0,0,0,0,0,0,0,0
Como,6815,C,Fadera,6,0,0,0,0,0,0,0,0,0
Como,6875,C,Paz N.,5,0,0,0,0,0,0,1,0,0
Como,441,A,Belotti,6,0,0,0,0,0,0,0,0,0
Como,2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0
Como,6657,A,Gabrielloni,6*,0,0,0,0,0,0,0,0,0
Empoli,6125,P,Vasquez D.,5.5,0,3,0,0,0,0,0,0,0
Empoli,770,D,Pezzella Giu.,5.5,0,0,0,0,0,0,0,0,0
Empoli,5010,D,Ismajli,5.5,0,0,0,0,0,0,0,0,0
Empoli,5718,D,Viti,5,0,0,0,0,0,0,0,0,0
Empoli,5804,D,Cacace,5.5,0,0,0,0,0,0,0,0,0
Empoli,6537,D,Goglichidze,5.5,0,0,0,0,0,0,0,0,0
Empoli,6809,D,Marianucci,5.5,0,0,0,0,0,0,0,0,0
Empoli,4498,C,Henderson L.,5.5,0,0,0,0,0,0,1,0,0
Empoli,4992,C,Gyasi,5.5,0,0,0,0,0,0,0,0,0
Empoli,5457,C,Maleh,6,0,0,0,0,0,0,0,0,0
Empoli,6889,C,Anjorin,6,0,0,0,0,0,0,0,0,0
Empoli,2103,A,Pellegri,5.5,0,0,0,0,0,0,0,0,0
Empoli,4463,A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
Empoli,4923,A,Colombo,5.5,0,0,0,0,0,0,1,0,0
Empoli,6011,A,Ekong,6,0,0,0,0,0,0,0,0,0
Empoli,6119,A,Solbakken,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,2521,P,De Gea,6,0,0,0,0,0,0,0,0,0
Fiorentina,2160,D,Gosens,6,0,0,0,0,0,0,0,0,0
Fiorentina,4378,D,Ranieri L.,7.5,1,0,0,0,0,0,0,0,0
Fiorentina,5449,D,Parisi,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,5603,D,Pongracic,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,5885,D,Dodo',6.5,0,0,0,0,0,0,0,0,1
Fiorentina,6495,D,Comuzzo,6,0,0,0,0,0,0,0,0,0
Fiorentina,333,C,Cataldi,6,0,0,0,0,0,0,0,0,0
Fiorentina,1933,C,Mandragora,6.5,0,0,0,0,0,0,0,0,1
Fiorentina,5423,C,Bove,6,0,0,0,0,0,0,0,0,0
Fiorentina,5875,C,Adli,6,0,0,0,0,0,0,0,0,0
Fiorentina,5878,C,Colpani,6,0,0,0,0,0,0,0,0,0
Fiorentina,6804,C,Richardson,6,0,0,0,0,0,0,0,0,0
Fiorentina,2097,A,Kean,7.5,2,0,0,0,0,0,1,0,0
Fiorentina,6409,A,Beltran L.,6,0,0,0,0,0,0,0,0,0
Fiorentina,7032,A,Caprini,6*,0,0,0,0,0,0,0,0,0
Genoa,188,P,Leali,6,0,0,0,0,0,0,0,0,0
Genoa,791,D,Sabelli,6.5,0,0,0,0,0,0,0,0,0
Genoa,2285,D,Bani,7,0,0,0,0,0,0,0,0,0
Genoa,2593,D,Martin,6.5,0,0,0,0,0,0,1,0,0
Genoa,5514,D,Vasquez,6,0,0,0,0,0,0,1,0,0
Genoa,5527,D,Zanoli,7,0,0,0,0,0,0,0,0,0
