Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,7,0,2,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,1
Atalanta,787,D,Djimsiti,4.5,0,0,0,0,0,0,1,0,0
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,5.5,0,0,0,0,0,0,1,0,0
Atalanta,6832,D,Palestra,6,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,5.5,0,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,5,0,0,0,1,0,0,1,0,0
Atalanta,2766,C,Zaniolo,5.5,0,0,0,0,0,0,1,0,0
Atalanta,4947,C,Brescianini,6,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6834,C,Cassa,6,0,0,0,0,0,0,0,0,0
Atalanta,6872,C,Manzoni,6*,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,7,1,0,0,0,0,0,0,0,0
Bologna,133,P,Skorupski,6,0,3,0,0,0,0,0,0,0
Bologna,2653,D,Lykogiannis,5.5,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
Bologna,4982,D,Erlic,6,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',5,0,0,0,0,0,0,1,0,0
Bologna,6066,D,Posch,5,0,0,0,0,0,0,1,0,0
Bologna,6202,D,Beukema,5.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
Bologna,5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
Bologna,5784,C,Aebischer,5.5,0,0,0,0,0,0,0,0,0
Bologna,6054,C,Moro N.,5.5,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,6*,0,0,0,0,0,0,0,0,0
Bologna,6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,5.5,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
Cagliari,574,P,Scuffet,6.5,0,1,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,6.5,0,0,0,0,0,0,0,0,1
Cagliari,2181,D,Palomino,6,0,0,0,0,0,0,0,0,0
Cagliari,4210,D,Mina,6,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,6,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,5.5,0,0,0,0,0,0,0,0,0
Cagliari,5701,D,Obert,6*,0,0,0,0,0,0,0,0,0
Cagliari,6231,D,Azzi,6.5,0,0,0,0,0,0,0,0,0
Cagliari,1871,C,Deiola,6,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,5.5,0,0,0,0,0,0,1,0,0
Cagliari,6424,C,Prati,6,0,0,0,0,0,0,1,0,0
Cagliari,247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
Cagliari,1939,A,Lapadula,6,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,7,1,0,0,0,0,0,0,0,0
Cagliari,5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
