Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,7,1,0,0,0,0,0,0,0,0
Atalanta,697,D,Cuadrado,6,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6,0,0,0,0,0,0,1,0,0
Atalanta,2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
Atalanta,4887,D,Bellanova,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5354,D,Ruggeri,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5578,D,Kossounou,6*,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,6,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,6,0,0,0,0,0,0,0,0,0
Atalanta,2766,C,Zaniolo,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,7.5,1,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,5.5,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,6.5,0,0,0,0,0,0,0,0,1
Bologna,133,P,Skorupski,7,0,0,0,0,0,0,0,0,0
Bologna,487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,6*,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,1
Bologna,6066,D,Posch,6*,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,7,1,0,0,0,0,0,0,0,0
Bologna,5298,C,Pobega,6,0,0,0,0,0,0,1,0,0
Bologna,5564,C,Ndoye,7.5,0,0,0,0,0,0,0,0,1
Bologna,6054,C,Moro N.,6,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,6*,0,0,0,0,0,0,1,0,0
Bologna,2765,A,Odgaard,7,1,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,6,0,0,0,0,0,0,0,0,0
Bologna,6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
