Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6,0,1,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,5,0,0,0,0,0,0,0,0,0
Atalanta,695,D,Toloi,6*,0,0,0,0,0,0,0,0,0
Atalanta,697,D,Cuadrado,5.5,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,5.5,0,0,0,0,0,0,0,0,0
Atalanta,4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,5526,D,Scalvini,5,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,5.5,0,0,0,0,0,0,0,0,0
Atalanta,4947,C,Brescianini,7.5,0,0,0,0,0,0,1,0,2
Atalanta,5119,C,Samardzic,5.5,0,0,0,0,0,0,1,0,0
Atalanta,5792,C,Ederson D.s.,7,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,5.5,0,0,0,0,0,0,1,0,0
Atalanta,5995,A,De Ketelaere,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,8,2,0,0,0,0,0,0,0,0
Bologna,133,P,Skorupski,6,0,1,0,0,0,0,0,0,0
Bologna,2653,D,Lykogiannis,6.5,0,0,0,0,0,0,0,0,1
Bologna,4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,5.5,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',5.5,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,5.5,0,0,0,0,0,0,0,0,0
Bologna,5564,C,Ndoye,5.5,0,0,0,0,0,0,0,0,0
Bologna,5858,C,Ferguson,6,0,0,0,0,0,0,0,0,0
Bologna,6054,C,Moro N.,6,0,0,0,0,0,0,0,0,0
Bologna,6112,C,Iling Junior,6*,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,5.5,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
Bologna,6643,A,Dallinga,5.5,0,0,0,0,0,0,0,0,0
Bologna,6895,A,Dominguez B.,7,1,0,0,0,0,0,0,0,0
Cagliari,4360,P,Caprile,7,0,2,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,5,0,0,0,0,0,0,0,0,0
Cagliari,4210,D,Mina,5,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4433,D,Zortea,5,0,0,0,0,0,0,1,0,0
Cagliari,4461,D,Zappa,4.5,0,0,0,0,0,0,0,0,0
Cagliari,5701,D,Obert,5,0,0,0,0,0,0,0,0,0
Cagliari,1871,C,Deiola,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4364,C,Gaetano,5,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,5,0,0,0,0,0,0,0,0,0
Cagliari,6232,C,Makoumbou,5.5,0,0,0,0,0,0,0,0,0
Cagliari,6640,C,Felici,5,0,0,0,0,0,0,0,0,0
Cagliari,247,A,Pavoletti,5.5,0,0,0,0,0,0,0,0,0
Cagliari,1939,A,Lapadula,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,5,0,0,0,0,0,0,0,0,0
Como,6966,P,Butez,6,0,2,0,0,0,0,0,0,0
Como,5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
Como,6230,D,Dossena,5.5,0,0,0,0,0,0,0,0,0
Como,6893,D,Kempf,5,0,0,0,0,0,0,0,0,0
Como,6944,D,Jack,5,0,0,0,0,0,0,1,0,0
Como,4486,C,Strefezza,6,0,0,0,0,0,0,0,0,0
Como,5036,C,Caqueret,5.5,0,0,0,0,0,0,0,0,0
Como,5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
Como,6151,C,Perrone,6,0,0,0,0,0,0,0,0,0
Como,6676,C,Engelhardt,5.5,0,0,0,0,0,0,0,0,0
Como,6815,C,Fadera,6.5,0,0,0,0,0,0,0,0,1
Como,6875,C,Paz N.,7,1,0,0,0,0,0,0,0,0
Como,6967,C,Diao,5,0,0,0,0,0,0,0,0,0
Como,441,A,Belotti,5.5,0,0,0,0,0,0,0,0,0
Como,2155,A,Cutrone,6,0,0,0,0,0,0,1,0,0
Empoli,6125,P,Vasquez D.,5.5,0,1,0,0,0,0,0,0,0
Empoli,358,D,De Sciglio,6*,0,0,0,0,0,0,0,0,0
Empoli,770,D,Pezzella Giu.,6,0,0,0,0,0,0,1,0,1
Empoli,5010,D,Ismajli,6.5,0,0,0,0,0,0,0,0,0
Empoli,5718,D,Viti,6,0,0,0,0,0,0,0,0,0
Empoli,5804,D,Cacace,6*,0,0,0,0,0,0,0,0,0
Empoli,6537,D,Goglichidze,6.5,0,0,0,0,0,0,0,0,0
Empoli,27,C,Grassi,6,0,0,0,0,0,0,1,0,0
Empoli,4498,C,Henderson L.,6,0,0,0,0,0,0,1,0,0
Empoli,4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
Empoli,5457,C,Maleh,6,0,0,0,0,0,0,0,0,0
Empoli,6010,C,Fazzini,6.5,0,0,0,0,0,0,0,0,0
Empoli,6889,C,Anjorin,6,0,0,0,0,0,0,0,0,0
Empoli,4463,A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
Empoli,4923,A,Colombo,7,1,0,0,0,0,0,0,0,0
Fiorentina,2521,P,De Gea,6.5,0,1,0,0,0,0,0,0,0
Fiorentina,2160,D,Gosens,6.5,0,0,0,0,0,0,0,0,1
Fiorentina,4378,D,Ranieri L.,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,5449,D,Parisi,6,0,0,0,0,0,0,0,0,0
Fiorentina,5603,D,Pongracic,6,0,0,0,0,0,0,0,0,0
Fiorentina,5885,D,Dodo',6.5,0,0,0,0,0,0,1,0,1
Fiorentina,6495,D,Comuzzo,6,0,0,0,0,0,0,0,0,0
Fiorentina,1933,C,Mandragora,6,0,0,0,0,0,0,1,0,0
Fiorentina,2839,C,Sottil,6,0,0,0,0,0,0,0,0,0
Fiorentina,5875,C,Adli,7,1,0,0,0,0,0,0,1,0
Fiorentina,6252,C,Folorunsho,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,6804,C,Richardson,6*,0,0,0,0,0,0,0,0,0
Fiorentina,2097,A,Kean,6,0,0,0,0,0,0,0,0,0
Fiorentina,5800,A,Gudmundsson A.,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,6409,A,Beltran L.,7,1,0,0,0,0,0,0,0,0
Genoa,188,P,Leali,6,0,0,0,0,0,0,0,0,0
Genoa,791,D,Sabelli,6,0,0,0,0,0,0,0,0,0
Genoa,2593,D,Martin,7,0,0,0,0,0,0,0,0,1
Genoa,5514,D,Vasquez,7.5,1,0,0,0,0,0,0,0,0
Genoa,5739,D,De Winter,7,1,0,0,0,0,0,0,0,0
Genoa,4404,C,Thorsby,6.5,0,0,0,0,0,0,0,0,0
Genoa,4677,C,Cornet,6.5,0,0,0,0,0,0,0,0,1
Genoa,5791,C,Frendrup,6,0,0,0,0,0,0,0,0,0
Genoa,5813,C,Miretti,6.5,0,0,0,0,0,0,0,0,0
Genoa,6917,C,Masini,6.5,0,0,0,0,0,0,0,0,0
Genoa,6922,C,Kasa,6,0,0,0,0,0,0,0,0,0
Genoa,2038,A,Pinamonti,5,0,0,0,1,0,0,0,0,0
Genoa,5506,A,Ekuban,6,0,0,0,0,0,0,0,0,0
Genoa,6164,A,Vitinha O.,6*,0,0,0,0,0,0,0,0,0
Genoa,6822,A,Ekhator,6*,0,0,0,0,0,0,0,0,0
Inter,2428,P,Sommer,6.5,0,0,0,0,0,0,0,0,0
Inter,322,D,De Vrij,6,0,0,0,0,0,0,1,0,0
Inter,2120,D,Bastoni,6.5,0,0,0,0,0,0,0,0,0
Inter,2525,D,Darmian,6,0,0,0,0,0,0,0,0,0
Inter,5513,D,Dumfries,7,1,0,0,0,0,0,0,0,0
Inter,5877,D,Carlos Augusto,6,0,0,0,0,0,0,0,0,0
Inter,6217,D,Bisseck,6,0,0,0,0,0,0,0,0,0
Inter,152,C,Zielinski,6.5,0,0,0,0,0,0,0,0,0
Inter,1870,C,Barella,6,0,0,0,0,0,0,0,0,0
Inter,2529,C,Mkhitaryan,6,0,0,0,0,0,0,0,0,0
Inter,2848,C,Frattesi,7.5,1,0,0,0,0,0,0,0,0
Inter,5719,C,Asllani,6,0,0,0,0,0,0,0,0,0
Inter,6532,C,Buchanan T.,6,0,0,0,0,0,0,0,0,0
Inter,2764,A,Martinez L.,7.5,1,0,0,0,0,0,0,0,1
Inter,4871,A,Thuram,6.5,0,0,0,0,0,0,0,0,1
Inter,6628,A,Taremi,6.5,0,0,0,0,1,0,1,0,0
Juventus,5876,P,Di Gregorio,6.5,0,2,0,0,0,0,0,0,0
Juventus,4976,D,Kalulu,6,0,0,0,0,0,0,0,0,0
Juventus,5520,D,Cambiaso,6,0,0,0,0,0,0,1,0,0
Juventus,5831,D,Gatti,5.5,0,0,0,0,0,0,0,0,0
Juventus,6802,D,Savona,6,0,0,0,0,0,0,0,0,0
