Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6.5,0,1,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,5.5,0,0,0,0,0,0,0,0,0
Atalanta,697,D,Cuadrado,5.5,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
Atalanta,4887,D,Bellanova,5.5,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,5,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,5.5,0,0,0,0,0,0,0,0,0
Atalanta,4896,C,Maldini,6,0,0,0,0,0,0,0,0,0
Atalanta,4947,C,Brescianini,6,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,6,0,0,0,0,0,0,0,0,0
Bologna,133,P,Skorupski,6,0,1,0,0,0,0,0,0,0
Bologna,2722,P,Ravaglia F.,6.5,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,7,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',5.5,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,0
Bologna,5564,C,Ndoye,7.5,1,0,0,0,0,0,0,0,0
Bologna,5784,C,Aebischer,6,0,0,0,0,0,0,1,0,0
Bologna,6206,C,Fabbian,6*,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,6.5,0,0,0,0,0,0,0,0,1
Bologna,4436,A,Cambiaghi,6,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
Bologna,6643,A,Dallinga,5.5,0,0,0,0,0,0,0,0,0
Bologna,6895,A,Dominguez B.,6*,0,0,0,0,0,0,0,0,0
Cagliari,4360,P,Caprile,6,0,0,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,6,0,0,0,0,0,0,1,0,0
Cagliari,2181,D,Palomino,5.5,0,0,0,0,0,0,1,0,0
Cagliari,4210,D,Mina,7,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,6,0,0,0,0,0,0,1,0,0
Cagliari,4433,D,Zortea,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
Cagliari,440,C,Viola,6.5,0,0,0,0,0,0,0,0,0
Cagliari,1871,C,Deiola,6*,0,0,0,0,0,0,0,0,0
Cagliari,4364,C,Gaetano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6.5,0,0,0,0,0,0,0,0,0
Cagliari,6424,C,Prati,5.5,0,0,0,0,0,0,0,0,0
Cagliari,247,A,Pavoletti,6*,0,0,0,0,0,0,1,0,0
Cagliari,4359,A,Piccoli,5.5,0,0,0,0,0,0,0,0,0
Cagliari,5297,A,Luvumbo,5.5,0,0,0,0,0,0,0,0,0
Cagliari,7016,A,Coman F.,6,0,0,0,0,0,0,0,0,0
Como,6966,P,Butez,6.5,0,1,0,0,0,0,0,0,0
Como,418,D,Goldaniga,6,0,0,0,0,0,0,0,0,0
Como,4284,D,Sergi Roberto,6,0,0,0,0,0,0,0,0,0
Como,4994,D,Vojvoda,7,1,0,0,0,0,0,1,0,0
Como,6867,D,Valle,6.5,0,0,0,0,0,0,0,0,0
Como,6893,D,Kempf,5,0,0,0,0,0,0,0,0,0
Como,7014,D,Smolcic I.,6,0,0,0,0,0,0,0,0,0
Como,4486,C,Strefezza,6,0,0,0,0,0,0,0,0,0
Como,4658,C,Ikone',7,1,0,0,0,0,0,0,0,0
Como,5036,C,Caqueret,7,0,0,0,0,0,0,0,0,2
Como,5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
Como,6151,C,Perrone,6,0,0,0,0,0,0,0,0,0
Como,6676,C,Engelhardt,6*,0,0,0,0,0,0,0,0,0
Como,6875,C,Paz N.,6.5,0,0,0,0,0,0,0,0,0
Como,6967,C,Diao,7,1,0,0,0,0,0,0,0,0
Como,7017,A,Douvikas,6,0,0,0,0,0,0,0,0,0
Empoli,6125,P,Vasquez D.,6,0,0,0,0,0,0,0,0,0
Empoli,770,D,Pezzella Giu.,6,0,0,0,0,0,0,0,0,0
Empoli,5480,D,Ebuehi,6.5,0,0,0,0,0,0,0,0,0
Empoli,5718,D,Viti,6.5,0,0,0,0,0,0,0,0,0
Empoli,5804,D,Cacace,5,0,0,0,0,0,0,0,0,0
Empoli,5856,D,Sambia,6,0,0,0,0,0,0,0,0,0
Empoli,6537,D,Goglichidze,6.5,0,0,0,0,0,0,0,0,0
Empoli,6809,D,Marianucci,6.5,0,0,0,0,0,0,0,0,0
Empoli,27,C,Grassi,5.5,0,0,0,0,0,0,0,0,0
Empoli,4498,C,Henderson L.,6,0,0,0,0,0,0,0,0,0
Empoli,2762,A,Kouame',5.5,0,0,0,0,0,0,0,0,0
Empoli,4463,A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
Empoli,4923,A,Colombo,6,0,0,0,0,0,0,0,0,0
Empoli,6119,A,Solbakken,6*,0,0,0,0,0,0,0,0,0
Fiorentina,2521,P,De Gea,7,0,2,0,0,0,0,1,0,0
Fiorentina,4378,D,Ranieri L.,6,0,0,0,0,0,0,0,0,0
Fiorentina,4904,D,Mari',5.5,0,0,0,0,0,0,1,0,0
Fiorentina,5449,D,Parisi,6,0,0,0,0,0,0,0,0,0
Fiorentina,5603,D,Pongracic,6,0,0,0,0,0,0,0,0,0
Fiorentina,5885,D,Dodo',6.5,0,0,0,0,0,0,1,0,1
Fiorentina,6495,D,Comuzzo,6,0,0,0,0,0,0,0,0,0
Fiorentina,333,C,Cataldi,6,0,0,0,0,0,0,0,0,0
Fiorentina,1933,C,Mandragora,6,0,0,0,0,0,0,0,0,0
Fiorentina,4465,C,Fagioli,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,5875,C,Adli,6*,0,0,0,0,0,0,0,0,0
Fiorentina,6252,C,Folorunsho,6,0,0,0,0,0,0,0,0,0
Fiorentina,6294,C,Ndour,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,2097,A,Kean,7,1,0,0,0,0,0,0,0,0
Fiorentina,5800,A,Gudmundsson A.,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,6409,A,Beltran L.,6,0,0,0,0,0,0,0,0,0
Genoa,188,P,Leali,6.5,0,0,0,0,0,0,0,0,0
Genoa,791,D,Sabelli,6.5,0,0,0,0,0,0,0,0,0
Genoa,2593,D,Martin,6,0,0,0,0,0,0,0,0,0
Genoa,5514,D,Vasquez,7,0,0,0,0,0,0,0,0,0
Genoa,5527,D,Zanoli,7,1,0,0,0,0,0,0,0,0
Genoa,5739,D,De Winter,6.5,0,0,0,0,0,0,0,0,0
Genoa,6244,D,Matturro,6*,0,0,0,0,0,0,0,0,0
Genoa,4404,C,Thorsby,6.5,0,0,0,0,0,0,1,0,0
Genoa,4427,C,Malinovskyi,6.5,0,0,0,0,0,0,0,0,0
Genoa,4970,C,Messias,6*,0,0,0,0,0,0,0,0,0
Genoa,5791,C,Frendrup,6,0,0,0,0,0,0,1,0,0
Genoa,6538,C,Onana J.,6,0,0,0,0,0,0,0,0,0
Genoa,6917,C,Masini,6.5,0,0,0,0,0,0,0,0,0
Genoa,6922,C,Kasa,6*,0,0,0,0,0,0,0,0,0
Genoa,2038,A,Pinamonti,5,0,0,0,0,0,0,0,0,0
Genoa,5506,A,Ekuban,6.5,0,0,0,0,0,0,0,0,0
Inter,2428,P,Sommer,7,0,2,0,0,0,0,0,0,0
Inter,254,D,Dimarco,6.5,0,0,0,0,0,0,1,0,1
Inter,513,D,Acerbi,6,0,0,0,0,0,0,0,0,0
Inter,2120,D,Bastoni,6.5,0,0,0,0,0,0,0,0,0
Inter,2525,D,Darmian,6.5,1,0,0,0,0,0,0,0,0
Inter,5877,D,Carlos Augusto,6,0,0,0,0,0,0,0,0,0
Inter,6217,D,Bisseck,6,0,0,0,0,0,0,0,0,0
Inter,2194,C,Calhanoglu,6,0,0,0,0,0,0,0,0,0
Inter,2529,C,Mkhitaryan,6,0,0,0,0,0,0,0,0,1
Inter,2848,C,Frattesi,5.5,0,0,0,0,0,0,0,0,0
Inter,5422,C,Zalewski,6,0,0,0,0,0,0,1,0,0
Inter,5719,C,Asllani,6,0,0,0,0,0,0,0,0,0
Inter,495,A,Correa,5.5,0,0,0,0,0,0,1,0,0
Inter,2764,A,Martinez L.,5.5,0,0,0,0,0,0,0,0,0
Inter,4268,A,Arnautovic,6*,0,0,0,0,0,0,0,0,0
Inter,4871,A,Thuram,6.5,1,0,0,0,0,0,0,0,0
Juventus,5876,P,Di Gregorio,5.5,0,1,0,0,0,0,0,0,0
Juventus,4976,D,Kalulu,7,0,0,0,0,0,0,0,0,0
Juventus,5520,D,Cambiaso,6,0,0,0,0,0,0,0,0,0
Juventus,6766,D,Kelly L.,5.5,0,0,0,0,0,0,0,0,0
Juventus,6802,D,Savona,6,0,0,0,0,0,0,0,0,0
Juventus,827,C,Locatelli,7,1,0,0,0,0,0,0,0,0
Juventus,4662,C,Weah,6.5,0,0,0,0,0,0,0,0,0
Juventus,4973,C,McKennie,6,0,0,0,0,0,0,0,0,0
Juventus,5562,C,Thuram K.,6.5,0,0,0,0,0,0,0,0,0
Juventus,5685,C,Koopmeiners,6,0,0,0,0,0,0,0,0,0
Juventus,6761,C,Veiga R.,6,0,0,0,0,0,0,1,0,0
Juventus,2841,A,Vlahovic,6,0,0,0,0,0,0,0,0,0
Juventus,4179,A,Gonzalez N.,6.5,0,0,0,0,0,0,0,0,0
Juventus,5951,A,Kolo Muani,6,0,0,0,0,0,0,0,0,0
Juventus,6434,A,Yildiz,6,0,0,0,0,0,0,0,0,0
Lazio,6482,P,Mandas,6.5,0,0,0,0,0,0,0,0,0
Lazio,2263,D,Lazzari,6,0,0,0,0,0,0,1,0,0
Lazio,2728,D,Pellegrini Lu.,6,0,0,0,0,0,0,0,0,0
Lazio,5620,D,Tavares N.,6,0,0,0,0,0,0,0,0,0
Lazio,5833,D,Gila,7,0,0,0,0,0,0,0,0,0
Lazio,5899,D,Gigot,6.5,0,0,0,0,0,0,0,0,0
Lazio,7012,D,Provstgaard,6.5,0,0,0,0,0,0,0,0,0
Lazio,181,C,Vecino,6*,0,0,0,0,0,0,0,0,0
Lazio,632,C,Zaccagni,6,0,0,0,0,0,0,0,0,0
Lazio,4459,C,Rovella,7,0,0,0,0,0,0,1,0,0
Lazio,5919,C,Tchaouna,5.5,0,0,0,0,0,0,0,0,0
Lazio,6191,C,Belahyane,6.5,0,0,0,0,0,0,0,0,0
Lazio,6629,C,Dele-Bashiru,6.5,0,0,0,0,0,0,0,0,1
Lazio,5672,A,Dia,6,0,0,0,0,0,0,0,0,0
Lazio,6398,A,Isaksen,7,1,0,0,0,0,0,0,0,0
Lazio,6556,A,Noslin,6,0,0,0,0,0,0,0,0,0
Lecce,2134,P,Falcone,6,0,1,0,0,0,0,0,0,0
Lecce,4502,D,Gallo,5.5,0,0,0,0,0,1,0,0,0
Lecce,5626,D,Guilbert,6,0,0,0,0,0,0,1,0,0
Lecce,5835,D,Baschirotto,7.5,1,0,0,0,0,0,1,0,0
Lecce,6632,D,Gaspar K.,6.5,0,0,0,0,0,0,0,0,0
Lecce,6990,D,Veiga D.,6,0,0,0,0,0,0,0,0,0
Lecce,5504,C,Coulibaly L.,5.5,0,0,0,0,0,0,0,0,0
Lecce,5872,C,Helgason,6.5,0,0,0,0,0,0,0,0,1
Lecce,6015,C,Berisha M.,6,0,0,0,0,0,0,0,0,0
Lecce,6394,C,Ramadani,6,0,0,0,0,0,0,0,0,0
Lecce,6633,C,Pierret,6,0,0,0,0,0,0,0,0,0
Lecce,6634,C,Tete Morente,6.5,0,0,0,0,0,0,0,0,0
Lecce,6435,A,Krstovic,6,0,0,0,0,0,0,0,0,0
Lecce,6549,A,Pierotti,5.5,0,0,0,0,0,0,0,0,0
Lecce,7001,A,N'Dri,6,0,0,0,0,0,0,0,0,0
Milan,4312,P,Maignan,6.5,0,2,0,0,0,0,0,0,0
Milan,2515,D,Walker,5.5,0,0,0,0,0,0,1,0,0
Milan,4292,D,Hernandez T.,5.5,0,0,0,0,0,0,1,0,0
Milan,4751,D,Tomori,5.5,0,0,0,0,0,0,0,0,1
Milan,6055,D,Thiaw,5,0,0,0,0,0,1,0,0,0
Milan,2423,C,Pulisic,6.5,0,0,0,0,0,0,1,0,1
Milan,4686,C,Fofana Y.,6,0,0,0,0,0,0,0,0,0
Milan,4856,C,Chukwueze,6*,0,0,0,0,0,0,0,0,0
Milan,5295,C,Musah,4.5,0,0,0,0,0,0,0,0,0
Milan,5992,C,Bondo,6*,0,0,0,0,0,0,0,0,0
Milan,6224,C,Reijnders,6,0,0,0,0,0,0,0,0,0
Milan,2438,A,Jovic,7,1,0,0,0,0,0,0,0,0
Milan,2544,A,Abraham,7,1,0,0,0,0,0,0,0,0
Milan,4510,A,Leao,5.5,0,0,0,0,0,0,1,0,0
Milan,4811,A,Joao Felix,6*,0,0,0,0,0,0,0,0,0
Milan,7008,A,Gimenez,5.5,0,0,0,0,0,0,0,0,0
Monza,4867,P,Turati,5.5,0,3,0,0,0,0,0,0,0
Monza,226,D,Izzo,5.5,0,0,0,0,0,0,0,0,0
Monza,253,D,D'Ambrosio,5,0,0,0,0,0,0,0,0,0
Monza,729,D,Pereira P.,5,0,0,0,0,0,0,0,0,0
Monza,4530,D,Kyriakopoulos,6,0,0,0,0,0,0,1,0,1
Monza,4958,D,Caldirola,6,0,0,0,0,0,0,0,0,0
Monza,5838,D,Birindelli,5.5,0,0,0,0,0,0,0,0,0
Monza,6874,D,Palacios T.,6*,0,0,0,0,0,0,0,0,0
Monza,801,C,Gagliardini,5.5,0,0,0,0,0,0,0,0,0
Monza,4377,C,Castrovilli,5.5,0,0,0,0,0,0,0,0,0
Monza,5286,C,Akpa Akpro,5,0,0,0,0,0,0,0,0,0
Monza,5516,C,Bianco,5.5,0,0,0,0,0,0,1,0,0
Monza,5880,C,Ciurria,6,0,0,0,0,0,0,0,0,0
Monza,345,A,Keita B.,5.5,0,0,0,0,0,0,0,0,0
Monza,1958,A,Caprari,5.5,0,0,0,0,0,0,0,0,0
Monza,5882,A,Mota,6.5,1,0,0,0,0,0,0,0,0
Napoli,574,P,Scuffet,6.5,0,1,0,0,0,0,0,0,0
Napoli,256,D,Juan Jesus,6,0,0,0,0,0,0,0,0,0
Napoli,2816,D,Di Lorenzo,5.5,0,0,0,0,0,0,1,0,0
Napoli,4409,D,Rrahmani,6,0,0,0,0,0,0,0,0,0
Napoli,5840,D,Olivera,6,0,0,0,0,0,0,1,0,0
Napoli,536,C,Politano,5.5,0,0,0,0,0,0,0,0,0
Napoli,4220,C,Zambo Anguissa,7,1,0,0,0,0,0,1,0,0
Napoli,4287,C,Lobotka,5.5,0,0,0,0,0,0,0,0,0
Napoli,4777,C,McTominay,6.5,0,0,0,0,0,0,0,0,0
Napoli,5131,C,Gilmour,6,0,0,0,0,0,0,0,0,0
Napoli,6831,C,Neres,5.5,0,0,0,0,0,0,0,0,0
Napoli,2531,A,Lukaku,6,0,0,0,0,0,0,0,0,0
Napoli,4371,A,Raspadori,6,0,0,0,0,0,0,0,0,0
Napoli,6145,A,Ngonge,6*,0,0,0,0,0,0,0,0,0
Parma,6641,P,Suzuki,6.5,0,2,0,0,0,0,0,0,0
Parma,5307,D,Valenti,5,0,0,0,0,0,0,0,0,0
Parma,5862,D,Valeri,5.5,0,0,0,0,0,0,0,0,0
Parma,6245,D,Vogliacco,5.5,0,0,0,0,0,0,0,0,0
Parma,6664,D,Delprato,5,0,0,0,0,0,0,1,0,0
Parma,6887,D,Leoni,6.5,0,0,0,0,0,0,0,0,0
Parma,4423,C,Hernani,5.5,0,0,0,0,0,0,0,0,0
Parma,5319,C,Sohm,6.5,0,0,0,0,0,0,0,0,0
Parma,5393,C,Man,5.5,0,0,0,0,0,0,0,0,0
Parma,5421,C,Camara D.,6*,0,0,0,0,0,0,0,0,0
Parma,6666,C,Bernabe',7,1,0,0,0,0,0,0,0,0
Parma,6898,C,Keita M.,6,0,0,0,0,0,0,0,0,0
Parma,6984,C,Ondrejka,7,1,0,0,0,0,0,0,0,0
Parma,6207,A,Almqvist,4.5,0,0,0,0,0,0,1,0,0
Parma,6669,A,Bonny,5.5,0,0,0,0,0,0,0,0,1
Parma,7023,A,Pellegrino M.,6.5,0,0,0,0,0,0,0,0,0
Roma,5841,P,Svilar,7,0,1,0,0,0,0,0,0,0
Roma,2296,D,Mancini,6,0,0,0,0,0,0,0,0,0
Roma,2406,D,Hummels,6,0,0,0,0,0,0,0,0,0
Roma,4317,D,N'Dicka,6.5,0,0,0,0,0,0,0,0,0
Roma,4657,D,Celik,5.5,0,0,0,0,0,0,0,0,0
Roma,4772,D,Angelino,6,0,0,0,0,0,0,0,0,0
Roma,7018,D,Nelsson,6,0,0,0,0,0,0,0,0,0
Roma,468,C,Paredes,6,0,0,0,0,0,0,0,0,0
Roma,779,C,Cristante,6.5,0,0,0,0,0,0,1,0,0
Roma,795,C,El Shaarawy,6,0,0,0,0,0,0,0,0,0
Roma,5589,C,Kone' M.,6.5,0,0,0,0,0,0,0,0,0
Roma,5823,C,Baldanzi,6*,0,0,0,0,0,0,0,0,0
Roma,7019,C,Gourna-Douath,6,0,0,0,0,0,0,0,0,0
Roma,5311,A,Shomurodov,7,1,0,0,0,0,0,0,0,0
Roma,5734,A,Soule',6,0,0,0,0,0,0,0,0,0
Roma,6675,A,Dovbyk,5.5,0,0,0,0,0,0,0,0,0
Torino,2170,P,Milinkovic-Savic V.,4.5,0,1,0,0,0,0,0,0,0
Torino,252,D,Biraghi,6,0,0,0,0,0,0,0,0,0
Torino,4374,D,Walukiewicz,5.5,0,0,0,0,0,0,0,0,0
Torino,4665,D,Maripan,6.5,0,0,0,0,0,0,0,0,0
Torino,6426,D,Pedersen,6,0,0,0,0,0,0,0,0,0
Torino,6642,D,Coco,6,0,0,0,0,0,0,0,0,0
Torino,2008,C,Linetty,6*,0,0,0,0,0,0,0,0,0
Torino,4479,C,Elmas,7,1,0,0,0,0,0,0,0,0
Torino,5007,C,Ilic,5.5,0,0,0,0,0,0,0,0,0
Torino,5453,C,Ricci S.,5,0,0,0,0,0,0,0,1,0
Torino,5687,C,Vlasic,6.5,0,0,0,0,0,0,0,0,1
Torino,5888,C,Casadei,6,0,0,0,0,0,0,0,0,0
Torino,6170,C,Gineitis,5.5,0,0,0,0,0,0,1,0,0
Torino,479,A,Sanabria,6,0,0,0,0,0,0,0,0,0
Torino,2325,A,Karamoh,5.5,0,0,0,0,0,0,0,0,0
Torino,6646,A,Adams C.,5,0,0,0,1,0,0,0,0,0
Udinese,6462,P,Okoye,7,0,1,0,0,0,0,0,0,0
Udinese,5555,D,Kamara H.,5.5,0,0,0,0,0,0,0,0,0
Udinese,5847,D,Bijol,6,0,0,0,0,0,0,0,0,0
