Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,6,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6.5,0,0,0,0,0,0,1,0,0
Atalanta,2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
Atalanta,4887,D,Bellanova,6,0,0,0,0,0,0,0,0,1
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,7.5,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,6.5,0,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,6,0,0,0,0,0,0,0,0,0
Atalanta,4947,C,Brescianini,6*,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,8,2,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,7,0,0,0,0,0,0,0,0,2
Atalanta,6228,A,Retegui,6.5,1,0,0,0,0,0,0,0,0
Bologna,2722,P,Ravaglia F.,6,0,0,0,0,0,0,0,0,0
Bologna,487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,7,0,0,0,0,0,0,0,0,1
Bologna,6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
Bologna,6066,D,Posch,6*,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,5,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,7,1,0,0,0,0,0,0,0,0
Bologna,5425,C,Urbanski,6,0,0,0,0,0,0,1,0,0
Bologna,5564,C,Ndoye,6,0,0,0,0,0,0,1,0,0
