Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6,0,1,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6832,D,Palestra,6*,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,7,1,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,6,0,0,0,0,0,0,0,0,0
Atalanta,2766,C,Zaniolo,6,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,7.5,1,0,0,0,0,0,0,0,0
Atalanta,6024,C,Sulemana I.,6*,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,7,0,0,0,0,0,0,0,0,1
Atalanta,5995,A,De Ketelaere,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,8.5,2,0,0,0,1,0,0,0,1
Atalanta,6912,A,Vlahovic V.,6*,0,0,0,0,0,0,0,0,0
Bologna,2722,P,Ravaglia F.,6.5,0,0,0,0,0,0,0,0,0
Bologna,2653,D,Lykogiannis,6,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
Bologna,4982,D,Erlic,6,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,6,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
Bologna,5425,C,Urbanski,6,0,0,0,0,0,0,1,0,0
Bologna,5564,C,Ndoye,6.5,0,0,0,0,0,0,0,0,0
Bologna,5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
Bologna,6054,C,Moro N.,5.5,0,0,0,0,0,0,0,0,0
Bologna,6112,C,Iling Junior,5.5,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
Bologna,6459,C,Karlsson,6,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,6,0,0,0,0,0,0,0,0,0
Cagliari,574,P,Scuffet,6.5,0,1,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4210,D,Mina,6.5,0,0,0,0,0,0,1,0,0
Cagliari,4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4433,D,Zortea,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
Cagliari,5701,D,Obert,7,0,0,0,0,0,0,0,0,0
Cagliari,440,C,Viola,6,0,0,0,0,0,0,0,0,0
Cagliari,1871,C,Deiola,6,0,0,0,0,0,0,1,0,0
Cagliari,4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,7,0,0,0,0,1,0,0,0,0
Cagliari,6232,C,Makoumbou,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,6,0,0,0,0,0,0,0,0,0
Cagliari,5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
Cagliari,6598,A,Mutandwa,6,0,0,0,0,0,0,0,0,0
Como,761,P,Audero,6,0,3,0,0,0,0,0,0,0
Como,4284,D,Sergi Roberto,5,0,0,0,0,0,0,0,0,0
Como,4386,D,Sala M.,6*,0,0,0,0,0,0,0,0,0
Como,5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
Como,6230,D,Dossena,5,0,0,0,0,0,0,0,0,0
Como,6893,D,Kempf,5,0,0,0,0,0,0,0,0,0
Como,6896,D,Van Der Brempt,6,0,0,0,0,0,0,0,0,0
Como,376,C,Verdi,6,0,0,0,0,0,0,0,0,0
Como,4486,C,Strefezza,7,1,0,0,0,0,0,1,0,0
Como,6151,C,Perrone,6.5,0,0,0,0,0,0,0,0,1
Como,6676,C,Engelhardt,6*,0,0,0,0,0,0,0,0,0
Como,6815,C,Fadera,5.5,0,0,0,0,0,0,0,0,0
Como,6875,C,Paz N.,6,0,0,0,0,0,0,0,0,0
Como,441,A,Belotti,6*,0,0,0,0,0,0,0,0,0
Como,2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0
Como,6657,A,Gabrielloni,6*,0,0,0,0,0,0,0,0,0
Empoli,6125,P,Vasquez D.,7.5,0,2,1,0,0,0,0,0,0
Empoli,358,D,De Sciglio,6*,0,0,0,0,0,0,0,0,0
Empoli,770,D,Pezzella Giu.,6,0,0,0,0,0,0,1,0,1
Empoli,5010,D,Ismajli,7,0,0,0,0,0,0,0,0,0
Empoli,5718,D,Viti,6,0,0,0,0,0,0,0,0,0
Empoli,5804,D,Cacace,5.5,0,0,0,0,0,0,0,0,0
Empoli,6537,D,Goglichidze,6,0,0,0,0,0,0,0,0,0
Empoli,27,C,Grassi,5,0,0,0,0,0,0,1,0,0
Empoli,4498,C,Henderson L.,5.5,0,0,0,0,0,0,0,0,0
Empoli,4992,C,Gyasi,5.5,0,0,0,0,0,0,1,0,0
Empoli,6010,C,Fazzini,6,0,0,0,0,0,0,1,0,0
Empoli,6889,C,Anjorin,7,0,0,0,0,0,0,0,0,0
Empoli,4463,A,Esposito Se.,7,1,0,0,0,0,0,0,0,0
Empoli,4923,A,Colombo,6*,0,0,0,0,0,0,0,0,0
Empoli,6011,A,Ekong,5.5,0,0,0,0,0,0,0,0,0
Empoli,6119,A,Solbakken,6,0,0,0,0,0,0,0,0,0
Fiorentina,2521,P,De Gea,9,0,1,2,0,0,0,0,0,0
Fiorentina,252,D,Biraghi,6,0,0,0,0,0,0,0,0,0
Fiorentina,2160,D,Gosens,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,4378,D,Ranieri L.,6,0,0,0,0,0,0,0,0,0
Fiorentina,5885,D,Dodo',6.5,0,0,0,0,0,0,1,0,0
Fiorentina,6235,D,Kayode,6*,0,0,0,0,0,0,0,0,0
Fiorentina,6495,D,Comuzzo,6,0,0,0,0,0,0,0,0,0
Fiorentina,333,C,Cataldi,6,0,0,0,0,0,0,0,0,0
Fiorentina,5423,C,Bove,6.5,0,0,0,0,0,0,1,0,0
Fiorentina,5875,C,Adli,7,1,0,0,0,0,0,0,0,0
Fiorentina,5878,C,Colpani,6,0,0,0,0,0,0,0,0,0
Fiorentina,6804,C,Richardson,6,0,0,0,0,0,0,0,0,0
Fiorentina,2097,A,Kean,5.5,0,0,0,1,0,0,0,0,1
Fiorentina,2762,A,Kouame',6,0,0,0,0,0,0,0,0,0
Fiorentina,5800,A,Gudmundsson A.,7,1,0,0,0,0,0,0,0,0
Genoa,610,P,Gollini,5.5,0,5,0,0,0,0,0,0,0
Genoa,2285,D,Bani,5.5,0,0,0,0,0,0,0,0,0
Genoa,2593,D,Martin,5,0,0,0,0,0,0,0,0,0
Genoa,5514,D,Vasquez,4.5,0,0,0,0,0,0,0,0,0
Genoa,5527,D,Zanoli,5,0,0,0,0,0,0,0,0,0
Genoa,5739,D,De Winter,5,0,0,0,0,0,0,0,0,0
Genoa,6245,D,Vogliacco,4.5,0,0,0,0,0,0,0,0,0
Genoa,6814,D,Norton-Cuffy,6*,0,0,0,0,0,0,0,0,0
Genoa,2121,C,Melegoni,6.5,0,0,0,0,0,0,0,0,0
Genoa,4404,C,Thorsby,4.5,0,0,0,0,0,0,0,0,0
Genoa,5798,C,Bohinen,4.5,0,0,0,0,0,0,0,0,0
