Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,7.5,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,1
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,5.5,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,6,0,0,0,0,0,0,1,0,0
Atalanta,2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
Atalanta,2766,C,Zaniolo,7,1,0,0,0,0,0,1,0,0
Atalanta,4947,C,Brescianini,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6.5,0,0,0,0,0,0,1,0,0
Atalanta,5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,6,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,5.5,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
Bologna,133,P,Skorupski,6,0,0,0,0,0,0,0,0,0
Bologna,487,D,De Silvestri,6.5,0,0,0,0,0,0,0,0,0
Bologna,2653,D,Lykogiannis,6,0,0,0,0,0,0,1,0,0
Bologna,5678,D,Holm,5.5,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
Bologna,6066,D,Posch,6*,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
Bologna,5298,C,Pobega,6,0,0,0,0,0,0,1,0,0
Bologna,5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
Bologna,5858,C,Ferguson,6.5,0,0,0,0,0,0,0,0,0
Bologna,6112,C,Iling Junior,6*,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,7,1,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,6.5,0,0,0,0,0,0,0,0,0
Bologna,6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
Bologna,6895,A,Dominguez B.,7,0,0,0,0,0,0,0,0,0
Cagliari,6650,P,Sherri,6,0,1,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,5.5,0,0,0,0,0,0,1,0,0
Cagliari,4210,D,Mina,6.5,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,5.5,0,0,0,0,0,0,1,0,0
Cagliari,4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
Cagliari,5701,D,Obert,5.5,0,0,0,0,0,0,1,0,0
Cagliari,1871,C,Deiola,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,6,0,0,0,0,0,0,0,0,0
